direction,corrAns,randomInstr,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_test.started,textInst1.started,respInstr1.started,instruction_test.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,goodbye.started,goodbye_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.04301080000004731,0.05679789999703644,0.05679789999703644,1.2360186000005342,space,1.169034799997462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,,0,0,0,1,,,,,,,,,1.2522047000020393,,,,,,,,,1.240260999999009,2.0345052999982727,2.8351707000038004,2.820421800002805,2.8204373999978998,2.8351707000038004,2.8351707000038004,2.8351707000038004,3.069548200001009,right,1,0.2303685000006226,None,3.069898200003081,3.0852513999998337,3.570803299997351,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,,0,1,1,0,,,,,,,,,3.5874955999970553,,,,,,,,,3.570985099999234,4.7716843000016524,5.5706649999992806,5.554462100000819,5.554474600001413,5.5706649999992806,5.5706649999992806,5.5706649999992806,5.8548159999991185,right,0,0.27888309999980265,None,5.855062499998894,5.87094960000104,6.355061700000078,6.372994899997138,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,,1,0,2,1,,,,,,,,,6.372994899997138,,,,,,,,,6.355242600002384,7.557432000001427,8.357996300001105,8.341688499996962,8.341699999997218,8.357996300001105,8.357996300001105,8.357996300001105,8.623730500003148,right,1,0.2517907000001287,None,8.623966500003007,8.639813399997365,9.12533799999801,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,,1,1,3,0,,,,,,,,,9.14209370000026,,,,,,,,,9.125522200003616,9.225466099996993,10.026148800003284,10.009694300002593,10.009705800002848,10.026148800003284,10.026148800003284,10.026148800003284,10.310120499998447,right,0,0.2721961999995983,None,10.310361299998476,10.324563100002706,10.810368500002369,10.830028099997435,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,accuracy,,,,,0,0,0,0,0,0,0,0,13.613361900002928,,,,,,,,,13.602555600002233,14.813353400000778,15.612340400002722,15.5976828999992,15.59769519999827,15.612340400002722,15.612340400002722,15.612340400002722,15.932472000000416,right,0,0.3022129999953904,None,,,,,10.814563899999484,10.830028099997435,10.830028099997435,13.598747700001695,space,2.756114099996921,None,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,accuracy,,,,,0,0,0,0,0,1,1,1,15.947613600001205,,,,,,,,,15.932945699998527,16.047787100003916,16.848451099998783,16.832076400001824,16.83208829999785,16.848451099998783,16.848451099998783,16.848451099998783,17.282942199999525,right,1,0.42528719999972964,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,accuracy,,,,,0,0,0,0,1,0,2,0,17.298841199997696,,,,,,,,,17.28332380000211,18.48303660000238,19.283690600001137,19.265751699997054,19.2657629000023,19.283690600001137,19.283690600001137,19.283690600001137,19.53319410000404,right,0,0.2455344000045443,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,accuracy,,,,,0,0,0,0,1,1,3,1,19.55168430000049,,,,,,,,,19.533618800000113,19.63234630000079,20.434655700002622,20.418287400003464,20.41829890000372,20.434655700002622,20.434655700002622,20.434655700002622,20.90101760000107,right,1,0.46344430000317516,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
,,accuracy,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,speed,,,,,0,1,1,1,0,0,0,0,23.83589629999915,,,,,,,,,23.825339299997722,24.636400700001104,25.438829099999566,25.42259980000381,25.422611800000595,25.438829099999566,25.438829099999566,25.438829099999566,26.491159099998185,right,0,1.0351410000002943,None,,,,,20.901395900000352,20.91958970000269,20.91958970000269,23.821330699996906,space,2.8915532999963034,None,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,speed,,,,,0,1,1,1,0,1,1,1,26.506357999998727,,,,,,,,,26.49162890000298,26.606462399999145,27.40540029999829,27.38918260000355,27.38919480000186,27.40540029999829,27.40540029999829,27.40540029999829,27.706082600001537,right,1,0.29234120000182884,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
left,left,speed,,,,,0,1,1,1,1,0,2,0,27.723101299998234,,,,,,,,,27.70647209999879,28.055665300002147,28.856403700003284,28.84097340000153,28.840985399998317,28.856403700003284,28.856403700003284,28.856403700003284,29.15720280000096,right,0,0.29761819999839645,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
right,right,speed,,,,,0,1,1,1,1,1,3,1,29.174343099999533,,,,,,,,,29.157556600002863,29.959215299997595,30.759917600000335,30.743504899997788,30.743514900001173,30.759917600000335,30.759917600000335,30.759917600000335,31.044081500003813,right,1,0.28146270000434015,None,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
,,speed,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095955 ,001,2024-03-08_20h39.28.865,random_dot,2023.2.3,59.938886311063705,2024-03-08 20h39.34.283902 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.044412800001737,31.060364500001015,,,,,,,,
